Quel est le titre du film qui raconte l'histoire d'un bateau percutant un iceberg en avril 1912?;Titanic;Boat Trip;Lifeboat;Iceberg
Quel est le nom de l'acteur qui a joué dans les films "Titanic", "L'homme au masque de fer" et "Attrape moi si tu peux"?;Leonardo DiCaprio;Robert de Niro;Tom Hanks;Brad Pitt
Quel est le nom de l'acteur qui a joué dans les films "Inglorious Basterds", "Money Ball" et "Fight Club"?;Brad Pitt;Tom Hanks;Leonardo Di Caprio;Robert de Niro
Quel est le nom de l'acteur qui a joué dans les films "Le Parrain", "Il était une fois en Amérique" et "Taxi Driver"?;Robert De Niro;Brad Pitt;Tom Hanks;Leonardo Di Caprio
Quel est le nom de l'acteur qui a joué dans les films "Les Temps Modernes", "Les Lumières de la ville" et "Le Kid"?;Charlie Chaplin;Robert De Niro;Marlon Brando;Humphrey Bogart
Quel est le nom de l'acteur qui a joué dans les films "Le Faucon maltais", "Casablanca" et "L'Odyssée de l'African Queen"?;Humphrey Bogart;Cary Grant;Charlie Chaplin;John Wayne
Quel est le nom de l'acteur qui a joué dans les films "Big", "Le Da Vinci Code" et "Forrest Gump"?;Tom Hanks;Leonardo Di Caprio;Robert de Niro;Brad Pitt
Quel est le nom de l'actrice qui a joué dans les films "La Ferme africaine", "Le Choix de Sophie" et "Kramer contre Kramer"?;Meryl Streep;Sandra Bullock;Nicole Kidman;Jodie Foster
Quel est le nom de l'actrice qui a joué Hermione Granger dans "Harry Potter"?;Emma Watson;Angelina Jolie;Anne Hathaway;Scarlett Johansson
Quel est le nom de l'actrice qui a joué dans les films "The Blind Side", "Gravity" et "28 jours en sursis"?;Sandra Bullock;Nicole Kidman;Jodie Foster;Angelina Jolie
Quel est le nom de l'actrice qui a joué dans les films "Flirting", "Prête à tout" et "Rabbit Hole"?;Nicole Kidman;Jodie Foster;Angelina Jolie;Kate Winslet
Quel est le nom de l'actrice qui a joué dans les films "Jennifer's Body", "Transformers" et "Jonah Hex"?;Megan Fox;Scarlett Johansson;Alyssa Milano;Cate Blanchett
Comment s'appelle le réalisateur, scénariste et producteur de cinéma américain notamment connu pour ses films "Jaws", "E.T. l'extra-terrestre" et "Jurassic Park"?;Steven Spielberg;Roman Polanski;George Lucas;Oliver Stone
Quel est le titre du plus célèbre film concernant les dinausores?;Jurassic Park;E.T. l'extra-terrestre;Harry Potter;Titanic
Quel est le titre du plus célèbre film racontant l'histoire de sorciers?;Harry Potter;Jurassic Park;E.T. l'extra-terrestre;Gladiateur
Moyen
Qu'ont les acteurs Michael Keaton, Val Kilmer, Adam West, George Clooney en commun?;Ils ont tous joué le rôle de Batman;Ils sont tous amoureux de Jennifer Lopez (dans leur films);Ils sont tous nés à Los-Angeles;Ils sont tous nés dans les années 50
D'où vient Jean Claude Van Damme?;Belgique;France;Suisse;Canada
Dans quel film Brad Pitt, Robert De Niro et Dustin Hoffman sont apparus ensemble?;Sleepers;L'Armée des douze singes;Sept ans au Tibet;Seven
Quel film sorti en 1997 se joue dans la ville de Sheffield?;The Full Monty;Notting Hill;Au nom du père;Quatre mariages et un enterrement
Qui a réalisé la version originale du film Psychose?;Alfred Hitchcock;James Cameron;Steven Spielberg;Stanley Kubrick
Quelle compagnie de cinéma a une montagne comme logo?;Paramount;Universal;MGM;20th Century Fox
Dans lequel de ces films Clint Eastwood n'a pas tenu le role principal?;Mort ou vif;L'Inspecteur Harry;Le Bon la Brute et le Truand;Space Cowboys
Quel acteur devint célèbre après avoir tenu le rôle principal dans le film Quatre mariages et un enterrement?;Hugh Grant;Sean Connery;Tom Cruise;Wesley Snipes
Dans lequelle de ces films Sylvester Stallone n'apparait pas?;Predator;Cliffhanger;Rocky;Demolition Man
Complète le titre de ce film: Officier et ______________.;Gentleman;Woman;Genius;Policier
